"�.�BYLINE"	"DATE"	"DATELINE"	"HEADLINE"	"LENGTH"	"PUBLICATION"	"SECTION"	"TITLE"	"X"
"99"	"By TIM ARANGO; Reporting was contributed by Scott Shane from Washington, Alissa J. Rubin and Rukmini Callimachi from Paris; Andrew E. Kramer from Moscow; David D. Kirkpatrick from London; Isabel Kershner from Jerusalem; Laurie Goodstein from New York; and Thomas Erdbrink from Tehran."	"November 18, 2015 Wednesday"	NA	"Envisioning How the Global Powers Can Smash a Brutal Enemy"	"2002 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"100"	"By LIZ ALDERMAN"	"November 18, 2015 Wednesday"	NA	"French Crowd Cafes to Defy Terror With a Sip of Wine"	"1044 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 12"	NA	NA
"101"	"By TRIP GABRIEL; Mark Mazzetti contributed reporting."	"November 18, 2015 Wednesday"	NA	"Aides Agree: Carson Struggles on Foreign Policy"	"1336 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 1"	NA	NA
"102"	"By AMY CHOZICK"	"November 18, 2015 Wednesday"	NA	"Attacks Complicate Clinton Campaign's Alignment With Obama"	"1201 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 18"	NA	NA
"103"	"By DAVID M. HERSZENHORN and MICHAEL D. SHEAR; David M. Herszenhorn reported from Washington, and Michael D. Shear from Manila. Jennifer Steinhauer and Eric Lichtblau contributed reporting from Washington."	"November 18, 2015 Wednesday"	NA	"Republicans Want to Suspend Program Accepting Syrian Refugees"	"902 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 15"	NA	NA
"104"	"By JULIE HIRSCHFELD DAVIS"	"November 18, 2015 Wednesday"	NA	"Cease-Fire and Political Transition in Syria Crucial to Defeating ISIS, Kerry Says"	"601 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"105"	"By THOMAS L. FRIEDMAN"	"November 18, 2015 Wednesday"	NA	"Cabs, Camels or ISIS"	"879 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 27"	NA	NA
"106"	""	"November 18, 2015 Wednesday"	NA	"How to Beat ISIS: Russia and the United States Should Join Forces"	"160 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"107"	""	"November 18, 2015 Wednesday"	NA	"How to Beat ISIS: Counter Recruitment of Young People"	"174 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"108"	""	"November 18, 2015 Wednesday"	NA	"How to Beat ISIS: Use Arab Armies to Fight the Group"	"339 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"109"	""	"November 18, 2015 Wednesday"	NA	"How to Beat ISIS: Reform Islamic Teaching"	"303 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"110"	""	"November 18, 2015 Wednesday"	NA	"How to Beat ISIS: First Deal With Assad"	"232 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"111"	""	"November 18, 2015 Wednesday"	NA	"How to Beat ISIS: Destroy the Group's Economy"	"506 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"112"	"By DAVE ITZKOFF; Jeremy Egner contributed reporting."	"November 18, 2015 Wednesday"	NA	"Stephen Colbert, Jimmy Fallon and Other Late-Night Hosts Respond to the Paris Attacks"	"1595 words"	"The New York Times"	"Section ; Column 0; The Arts/Cultural Desk; Pg. "	NA	NA
"113"	"By AURELIEN BREEDEN, LIZ ALDERMAN and KATRIN BENNHOLD; Aurelien Breeden and Liz Alderman reported from Paris, and Katrin Bennhold from London. Reporting was contributed by Julie Hirschfeld Davis from Paris; Kimiko de Freytas-Tamura, James Kanter and Milan Schreuer from Brussels; Eric Schmitt from Washington; Alison Smale from Berlin; and Neil MacFarquhar from Moscow."	"November 18, 2015 Wednesday"	NA	"Raid Near Paris Erupts in Gunfire as Police Move In"	"1603 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"114"	"By NEIL MacFARQUHAR; Reporting was contributed by Kareem Fahim and Merna Thomas from Cairo, Eric Schmitt from Washington, Michael D. Shear from Manila, Aurelien Breeden from Paris, and Anne Barnard and Hwaida Saad from Beirut, Lebanon."	"November 18, 2015 Wednesday"	NA	"Russia Allies With France Against ISIS"	"1230 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"115"	"By ANNE BARNARD; Reporting was contributed by Hwaida Saad in Beirut."	"November 18, 2015 Wednesday"	NA	"Questions After Strikes on Stronghold in Syria"	"1439 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 15"	NA	NA
"116"	"By ABDELLAH TAÏA. Abdellah Taïa is the author of the novels ''An Arab Melancholia'' and the forthcoming ''Infidels.'' This essay was translated by Edward Gauvin from the French."	"November 18, 2015 Wednesday"	NA	"Is Any Place Safe?"	"761 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED CONTRIBUTOR; Pg. 27"	NA	NA
"117"	"By THE EDITORIAL BOARD"	"November 18, 2015 Wednesday"	NA	"What It Will Take to Fight ISIS"	"845 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 26"	NA	NA
"118"	"ASHLEY PARKER"	"November 18, 2015 Wednesday"	NA	"Jeb Bush Cites Paris Attacks in Calling for Stronger Military"	"515 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"119"	""	"November 18, 2015 Wednesday"	NA	"Europe's Refugee Problem, and Ours"	"1578 words"	"The New York Times Blogs(Ross Douthat)"	"OPINION"	NA	NA
"120"	"EMMARIE HUETTEMAN and MATT FLEGENHEIMER"	"November 18, 2015 Wednesday"	NA	"Ted Cruz Challenges President Obama to Debate on Syrian Refugees"	"390 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"121"	"ASHLEY PARKER"	"November 18, 2015 Wednesday"	NA	"Jeb Bush Calls for Global Coalition and U.S. Ground Troops to Fight ISIS"	"766 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"122"	"ALAN RAPPEPORT"	"November 18, 2015 Wednesday"	NA	"Donald Trump Runs Radio Ads Criticizing Obama on Paris Attacks"	"365 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"123"	"FRANCIS X. CLINES"	"November 18, 2015 Wednesday"	NA	"The Real Terror Threat Congress Should Confront"	"423 words"	"The New York Times Blogs(Taking Note)"	"OPINION"	NA	NA
"124"	"TRIP GABRIEL"	"November 18, 2015 Wednesday"	NA	"Adviser Who Questioned Ben Carson's Grasp of Mideast Is Consulted for Op-Ed Piece"	"569 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"125"	"TRIP GABRIEL"	"November 18, 2015 Wednesday"	NA	"Ad Supporting John Kasich Derides Rivals' Experience"	"297 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"126"	""	"November 19, 2015 Thursday"	NA	"Grappling With ISIS and the Refugees"	"779 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; LETTERS; Pg. 30"	NA	NA
"127"	"By JULFIKAR ALI MANIK and ELLEN BARRY; Julfikar Ali Manik reported from Dhaka, and Ellen Barry from New Delhi."	"November 19, 2015 Thursday"	NA	"A Catholic Missionary Is Attacked in Bangladesh"	"547 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"128"	"By ASHLEY PARKER"	"November 19, 2015 Thursday"	NA	"Ground Forces Needed to Vanquish ISIS, Bush Tells Cadets at Citadel"	"792 words"	"The New York Times"	"Section A; Column 0; National Desk; FIRST DRAFT; Pg. 22"	NA	NA
"129"	"By TRIP GABRIEL"	"November 19, 2015 Thursday"	NA	"Ex-C.I.A. Officer Gave Views for Writing of Carson Op-Ed"	"592 words"	"The New York Times"	"Section A; Column 0; National Desk; FIRST DRAFT; Pg. 22"	NA	NA
"130"	"By STEVEN ERLANGER and PETER BAKER; Steven Erlanger reported from Paris, and Peter Baker from Washington. Somini Sengupta contributed reporting from the United Nations, Michael D. Shear from Manila, and Liz Alderman from Paris."	"November 19, 2015 Thursday"	NA	"Allies of Convenience"	"1320 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; NEWS ANALYSIS; Pg. 1"	NA	NA
"131"	"By NICOLE PERLROTH and DAVID E. SANGER; J. David Goodman contributed reporting."	"November 19, 2015 Thursday"	NA	"F.B.I. Director Repeats Call That Ability to Read Encrypted Messages Is Crucial"	"934 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; CYBERSECURITY; Pg. 17"	NA	NA
"132"	"By KATRIN BENNHOLD; Dan Bilefsky contributed reporting from Paris, and Kimiko de Freytas-Tamura from Brussels."	"November 19, 2015 Thursday"	NA	"Assaults Highlight Jihadists' Easy Path to Syria and Back"	"1603 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 14"	NA	NA
"133"	"By NICHOLAS KRISTOF"	"November 19, 2015 Thursday"	NA	"Betraying Ourselves"	"828 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 31"	NA	NA
"134"	"By DIONNE SEARCEY and MARC SANTORA; Dionne Searcey reported from Dakar, and Marc Santora from New York. Kabiru Anwar contributed reporting from Yola, Nigeria."	"November 19, 2015 Thursday"	NA	"Boko Haram Tops ISIS in Ranking Terror Groups"	"761 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"135"	"By RONALD K. NOBLE. Ronald K. Noble was secretary general of Interpol from 2000 to 2014."	"November 19, 2015 Thursday"	NA	"Europe's Welcome Sign to Terrorists"	"854 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED CONTRIBUTOR; Pg. 31"	NA	NA
"136"	"By IAN FISHER; Reporting was contributed by Anne Barnard and Hwaida Saad from Beirut, Lebanon; Richard A. Oppel Jr., Stephen Farrell and Nicholas Kulish from New York; Matthew Rosenberg, Mark Mazzetti, Matt Apuzzo and Eric Schmitt from Washington; and C. J. Chivers.. Ian Fisher covered Iraq regularly in 2003 and 2004 and returned on reporting trips several times thereafter."	"November 19, 2015 Thursday"	NA	"In Rise of ISIS, Many Strands of Blame"	"3624 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; STATE OF TERROR; Pg. 1"	NA	NA
"137"	"By LILIA BLAISE, LIZ ALDERMAN and AURELIEN BREEDEN; Lilia Blaise reported from St.-Denis, and Liz Alderman and Aurelien Breeden from Paris. Reporting was contributed by Daphné Anglès and Elian Peltier from Paris, Kimiko de Freytas-Tamura and Milan Schreuer from Brussels, and Katrin Bennhold and Hannah Olivennes from London."	"November 19, 2015 Thursday"	NA	"Paris Is on Edge as Fate of Attacks' Organizer Is Still a Question Mark"	"1448 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"138"	"By C.J. CHIVERS"	"November 19, 2015 Thursday"	NA	"Analyzing Jihadists' Claim of a Bomb in a Soda Can"	"683 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; ISIS PROPAGANDA; Pg. 13"	NA	NA
"139"	"By ALISON SMALE; Reporting was contributed by Ceylan Yeginsu from Istanbul; Dan Bilefsky from Paris; James Kanter from Brussels; Tim Arango from Essex Junction, Vt.; and Elisabeth Malkin and Azam Ahmed from Mexico City."	"November 19, 2015 Thursday"	NA	"Turkey's Role as Migrant Gateway Is Source of New Urgency for E.U."	"1268 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 13"	NA	NA
"140"	"By KATHRYN SHATTUCK"	"November 19, 2015 Thursday"	NA	"What to Watch Thursday"	"441 words"	"The New York Times"	"Section C; Column 0; The Arts/Cultural Desk; Pg. 7"	NA	NA
"141"	"By HANNA INGBER; Lela Moore and Jeffrey Marcus contributed reporting."	"November 19, 2015 Thursday"	NA	"Reigniting the Debate Over Civil Liberties vs. National Security"	"1485 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 12"	NA	NA
"142"	"DIDI KIRSTEN TATLOW"	"November 19, 2015 Thursday"	NA	"Chinese Debate Proper Response to Hostage's Killing"	"939 words"	"The New York Times Blogs(Sinosphere)"	"WORLD; asia"	NA	NA
"143"	"PATRICK HEALY"	"November 19, 2015 Thursday"	NA	"Bernie Sanders to Invoke Roosevelt in Speech Defining His Vision of 'Democratic Socialism'"	"409 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"144"	"MICHAEL GONCHAR"	"November 19, 2015 Thursday"	NA	"Illustrating Ideas: Student Winners From Our Editorial Cartoon Contest"	"304 words"	"The New York Times Blogs(The Learning Network)"	"EDUCATION"	NA	NA
"145"	"AMY CHOZICK"	"November 19, 2015 Thursday"	NA	"Hillary Clinton Presents Her Plan to Battle ISIS"	"512 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"146"	"MAGGIE HABERMAN"	"November 19, 2015 Thursday"	NA	"Major Hillary Clinton Donor Urges 'More Scrutiny' of Muslims"	"384 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"147"	"By KATIE ROGERS"	"November 20, 2015 Friday"	NA	"How to Cope With Anxiety During Terror Threats"	"706 words"	"The New York Times"	"Section ; Column 0; NYTNow; Pg. "	NA	NA
"148"	"By ELIAN PELTIER and MILAN SCHREUER; Elian Peltier from Paris reported from Paris and Milan Schreuer from Brussels. Aurelien Breeden contributed reporting from Paris, and Michael D. Shear from Manila."	"November 20, 2015 Friday"	NA	"Leaders of France and Belgium Seek Tougher Security Measures"	"1057 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"149"	"By RICHARD PÉREZ-PEÑA; Fernanda Santos, Julia Preston and Michael S. Schmidt contributed reporting."	"November 20, 2015 Friday"	NA	"Migrants' Attempts to Enter U.S. via Mexico Stoke Fears About Jihadists"	"885 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"150"	"By DAVID BROOKS"	"November 20, 2015 Friday"	NA	"Clinton Takes on ISIS"	"815 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 31"	NA	NA
"151"	"By AMY CHOZICK and DAVID E. SANGER"	"November 20, 2015 Friday"	NA	"Clinton's Plan to Defeat ISIS Adds Urgency"	"1369 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 1"	NA	NA
"152"	"By ERIC LICHTBLAU"	"November 20, 2015 Friday"	NA	"F.B.I. Director Says No Link to U.S. Is Seen"	"334 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; GLOBAL INVESTIGATIONS; Pg. 16"	NA	NA
"153"	"By JENNIFER STEINHAUER and MICHAEL D. SHEAR; Jennifer Steinhauer reported from Washington, and Michael D. Shear from Manila."	"November 20, 2015 Friday"	NA	"Bill to Restrict Syrians in U.S. Passes in House"	"1284 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"154"	"By MICHAEL S. SCHMIDT, ERIC SCHMITT and MATT APUZZO"	"November 20, 2015 Friday"	NA	"Suspects in U.S. Who Don't Travel to Syria Are Even Harder to Investigate"	"1251 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 17"	NA	NA
"155"	"By THE EDITORIAL BOARD"	"November 20, 2015 Friday"	NA	"Mrs. Clinton's Syria Strategy"	"686 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 30"	NA	NA
"156"	"By ROGER COHEN"	"November 20, 2015 Friday"	NA	"Body Bags in Paris"	"815 words"	"The New York Times"	"Section ; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. "	NA	NA
"157"	"By DANIEL VICTOR"	"November 20, 2015 Friday"	NA	"Comparing Jewish Refugees of the 1930s With Syrians Today"	"683 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"158"	"By JONAH BROMWICH"	"November 20, 2015 Friday"	NA	"Muslims Defend Islam From Being Hijacked by ISIS"	"744 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"159"	"By SOMINI SENGUPTA; Anne Barnard contributed reporting from Beirut, Lebanon."	"November 20, 2015 Friday"	NA	"World Powers Set High Goals for Syria Cease-Fire, but Pitfalls Await"	"1191 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; UNITED NATIONS MEMO; Pg. 14"	NA	NA
"160"	"By ANDREW HIGGINS and KIMIKO DE FREYTAS-TAMURA; Andrew Higgins reported from Verviers, and Kimiko de Freytas-Tamura from Brussels. Aurelien Breeden contributed reporting from Paris, and Milan Schreuer from Brussels."	"November 20, 2015 Friday"	NA	"Paris Suspect Drafted an Elaborate Plot of Terror Across Europe"	"1750 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"161"	"By FLOYD WHALEY"	"November 20, 2015 Friday"	NA	"Severed Head May Be Kidnap Victim's, Philippine Officials Say"	"727 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"162"	"By PATRICK HEALY"	"November 20, 2015 Friday"	NA	"Facing Concerns, Sanders Makes Case for Electability"	"1409 words"	"The New York Times"	"Section A; Column 0; National Desk; FIRST DRAFT; Pg. 20"	NA	NA
"163"	"By STEVEN ERLANGER and KIMIKO DE FREYTAS-TAMURA; Steven Erlanger reported from Paris and Kimiko de Freytas-Tamura reported from Brussels. Milan Schreuer in Brussels and Aurelien Breeden and Elian Peltier in Paris contributed reporting."	"November 20, 2015 Friday"	NA	"A Rattled Europe Tilts Toward Bolder Security, Starting a Rights Debate"	"1593 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"164"	"By COREY KILGANNON"	"November 20, 2015 Friday"	NA	"Implied Threat to Attack City Elicits a Mix of Reactions"	"663 words"	"The New York Times"	"Section A; Column 0; Metropolitan Desk; Pg. 27"	NA	NA
"165"	"ALAN RAPPEPORT"	"November 20, 2015 Friday"	NA	"Terrorism and Refugees Dominate Week in Presidential Race"	"560 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
